ts,run,label,size_gb,phase,seconds,size
2026-05-03T15:37:38+02:00,0,vm-pmx8,5,full,47.220153674,20.00GiB
2026-05-03T15:37:43+02:00,0,vm-pmx8,5,incremental,2.654103460,288.00MiB
2026-05-03T15:38:24+02:00,0,vm-pmx8,5,restore,40.214081554,NA
2026-05-03T15:42:45+02:00,1,vm-pmx8,5,full,38.440858977,20.00GiB
2026-05-03T15:42:51+02:00,1,vm-pmx8,5,incremental,3.818365301,160.00MiB
2026-05-03T15:43:33+02:00,1,vm-pmx8,5,restore,41.226315384,NA
2026-05-03T15:44:48+02:00,1,lxc-pmx8,5,full,37.753750978,NA
2026-05-03T15:45:18+02:00,1,lxc-pmx8,5,incremental,28.964170818,NA
2026-05-03T15:46:21+02:00,1,lxc-pmx8,5,restore,61.566728293,NA
2026-05-03T15:48:33+02:00,2,vm-pmx8,5,full,38.428605231,20.00GiB
2026-05-03T15:48:38+02:00,2,vm-pmx8,5,incremental,2.676728410,168.00MiB
2026-05-03T15:49:09+02:00,2,vm-pmx8,5,restore,30.182130772,NA
2026-05-03T15:50:23+02:00,2,lxc-pmx8,5,full,36.267924213,NA
2026-05-03T15:50:54+02:00,2,lxc-pmx8,5,incremental,29.757084974,NA
2026-05-03T15:51:57+02:00,2,lxc-pmx8,5,restore,62.474513877,NA
2026-05-03T15:54:10+02:00,3,vm-pmx8,5,full,38.768762778,20.00GiB
2026-05-03T15:54:15+02:00,3,vm-pmx8,5,incremental,2.662905709,156.00MiB
2026-05-03T15:54:45+02:00,3,vm-pmx8,5,restore,29.310835911,NA
2026-05-03T15:55:58+02:00,3,lxc-pmx8,5,full,39.203520194,NA
2026-05-03T15:56:28+02:00,3,lxc-pmx8,5,incremental,28.820492443,NA
2026-05-03T15:57:29+02:00,3,lxc-pmx8,5,restore,60.199989496,NA
2026-05-03T16:37:01+02:00,1,vm-pmx8,12,full,72.300706820,20.00GiB
2026-05-03T16:37:07+02:00,1,vm-pmx8,12,incremental,3.766116578,172.00MiB
2026-05-03T16:38:05+02:00,1,vm-pmx8,12,restore,57.403881794,NA
2026-05-03T16:40:19+02:00,1,lxc-pmx8,12,full,69.265517485,NA
2026-05-03T16:41:11+02:00,1,lxc-pmx8,12,incremental,50.289663956,NA
2026-05-03T16:43:19+02:00,1,lxc-pmx8,12,restore,127.376068077,NA
2026-05-03T16:46:54+02:00,2,vm-pmx8,12,full,64.365080114,20.00GiB
2026-05-03T16:46:59+02:00,2,vm-pmx8,12,incremental,2.682290647,172.00MiB
2026-05-03T16:47:52+02:00,2,vm-pmx8,12,restore,52.801298201,NA
2026-05-03T16:49:58+02:00,2,lxc-pmx8,12,full,66.083585845,NA
2026-05-03T16:50:49+02:00,2,lxc-pmx8,12,incremental,49.463770707,NA
2026-05-03T16:53:01+02:00,2,lxc-pmx8,12,restore,131.570166633,NA
2026-05-03T16:56:40+02:00,3,vm-pmx8,12,full,64.735877564,20.00GiB
2026-05-03T16:56:46+02:00,3,vm-pmx8,12,incremental,3.795142148,164.00MiB
2026-05-03T16:57:45+02:00,3,vm-pmx8,12,restore,57.578346549,NA
2026-05-03T16:59:53+02:00,3,lxc-pmx8,12,full,65.114066398,NA
2026-05-03T17:00:45+02:00,3,lxc-pmx8,12,incremental,51.072182717,NA
2026-05-03T17:02:53+02:00,3,lxc-pmx8,12,restore,127.418318964,NA
