label,size_gb,phase,mean,std,count
lxc-pmx8,5,full,37.74,1.47,3
lxc-pmx8,5,incremental,29.18,0.5,3
lxc-pmx8,5,restore,61.41,1.14,3
lxc-pmx8,12,full,66.82,2.17,3
lxc-pmx8,12,incremental,50.28,0.8,3
lxc-pmx8,12,restore,128.79,2.41,3
lxc-pmx9,5,full,34.4,0.34,3
lxc-pmx9,5,incremental,25.08,1.27,3
lxc-pmx9,5,restore,58.54,1.0,3
lxc-pmx9,12,full,66.51,1.4,3
lxc-pmx9,12,incremental,43.89,0.29,3
lxc-pmx9,12,restore,129.85,1.27,3
vm-pmx8,5,full,40.71,4.34,4
vm-pmx8,5,incremental,2.95,0.58,4
vm-pmx8,5,restore,35.23,6.36,4
vm-pmx8,12,full,67.13,4.48,3
vm-pmx8,12,incremental,3.41,0.63,3
vm-pmx8,12,restore,55.93,2.71,3
vm-pmx9,5,full,40.52,0.15,3
vm-pmx9,5,incremental,2.7,0.12,3
vm-pmx9,5,restore,31.69,5.59,3
vm-pmx9,12,full,65.95,0.65,3
vm-pmx9,12,incremental,2.72,0.07,3
vm-pmx9,12,restore,61.1,6.74,3
