env,run,host,cpu_1t_eps,cpu_4t_eps,mem_mibs,net_tcp_gbps,wrk_static_rps,wrk_dynamic_rps,wrk_proxy_rps,oltp_tps,idle_used_mb,fio_read_iops,fio_write_iops,fio_read_bw_kibs,fio_write_bw_kibs
vm-pmx8,1,pmx8,448.99,1312.33,18520.21,14.95125216555861,59418.95,252.88,16434.57,529.43,558.75390625,20691.088482,8869.952167,82764,35479
vm-pmx8,2,pmx8,451.71,1323.0,18479.89,24.71515657840472,57477.36,252.15,15768.65,583.11,575.50390625,20179.313678,8650.555824,80717,34602
vm-pmx8,3,pmx8,443.0,1299.33,17786.53,30.602791597161282,64172.99,224.61,17318.02,526.98,553.98046875,20439.859336,8761.470642,81759,35045
vm-pmx8,4,pmx8,450.99,1301.81,18262.83,29.44852163139056,69242.62,250.33,17924.09,543.09,581.81640625,20620.956317,8839.086015,82483,35356
vm-pmx8,5,pmx8,453.6,1303.81,18673.06,31.42478934446614,69421.17,250.03,17887.39,537.31,546.4921875,19252.562457,8253.629106,77010,33014
lxc-pmx8,1,pmx8,474.28,1387.6,20736.92,21.609189528421684,63591.17,267.46,20219.0,741.04,148.80859375,57770.703822,24769.020516,231082,99076
lxc-pmx8,2,pmx8,468.17,1394.7,20368.16,22.198518939293702,65058.86,270.56,20353.52,773.83,148.6484375,56855.202413,24373.777104,227420,97495
lxc-pmx8,3,pmx8,475.58,1365.06,19668.59,28.919232068806636,72874.23,266.98,22597.17,672.66,148.703125,50855.102415,21800.80332,203420,87203
lxc-pmx8,4,pmx8,473.71,1367.19,20835.08,28.577611409629327,71918.94,266.43,22467.1,698.17,148.72265625,55676.255396,23868.668856,222705,95474
lxc-pmx8,5,pmx8,474.43,1365.76,20867.99,28.027545895607528,71458.57,266.39,22309.82,716.0,148.859375,57048.732521,24456.992383,228194,97827
vm-pmx9,1,pmx9,439.32,1284.23,17688.51,28.10554978084713,66929.14,242.13,17815.98,490.4,541.89453125,20514.224763,8793.42011,82056,35173
vm-pmx9,2,pmx9,445.03,1285.03,17551.73,27.998964988941086,68124.64,245.15,18920.67,523.27,500.69921875,20863.935601,8944.000933,83455,35776
vm-pmx9,3,pmx9,446.32,1282.88,17922.86,27.54960639364448,68861.04,246.07,19067.71,519.0,501.70703125,19954.517425,8554.640756,79818,34218
vm-pmx9,4,pmx9,448.8,1312.2,18125.21,22.010808713577283,55552.69,251.61,16617.59,517.57,499.36328125,21145.747571,9065.482242,84582,36261
vm-pmx9,5,pmx9,447.59,1313.4,18210.67,18.60347080079301,57753.33,253.04,16833.83,481.81,541.45703125,20624.456259,8840.619323,82497,35362
lxc-pmx9,1,pmx9,469.1,1355.55,20475.59,30.183093872902237,75862.25,245.07,22228.59,785.59,142.3984375,53447.075882,22911.968134,213788,91647
lxc-pmx9,2,pmx9,470.8,1353.82,20425.67,29.39236859745741,75690.74,254.38,21913.71,729.18,142.8037109375,63858.619023,27373.443776,255434,109493
lxc-pmx9,3,pmx9,469.99,1352.96,20242.24,30.244507339240936,75207.96,258.54,22187.25,764.19,142.4921875,63409.326511,27183.796937,253637,108735
lxc-pmx9,4,pmx9,473.19,1378.13,20220.29,22.92109348552511,61546.41,260.11,18760.02,806.29,143.2431640625,64391.160147,27602.939951,257564,110411
lxc-pmx9,5,pmx9,471.44,1381.76,20508.81,30.013661267250598,60922.51,266.29,18725.95,828.89,142.462890625,63158.180697,27075.648739,252632,108302
